file,sheet,rows,cols,numeric_cols,numeric_col_names,corr_pairs
30.01.2026 - Galatasaray - Comparison.xlsx,Comparison,166,3,3,"['2025/2026', 'Seçildi: 19', 'Seçildi: 8']",3
30.01.2026 - Galatasaray - Match statistics.xlsx,Avrupa,19,173,138,"['Index', 'Pozisyonlar', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut', 'Shots on target, %', 'İsabetsiz Şutlar']",9453
30.01.2026 - Galatasaray - Match statistics.xlsx,Beraberlik,13,173,144,"['Index', 'Gol', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut']",10296
30.01.2026 - Galatasaray - Match statistics.xlsx,Deplasman,31,173,145,"['Index', 'Gol', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut']",10440
30.01.2026 - Galatasaray - Match statistics.xlsx,Ev sahibi,33,173,142,"['Index', 'Gol', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut']",10011
30.01.2026 - Galatasaray - Match statistics.xlsx,Galibiyet,41,173,145,"['Index', 'Gol', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut']",10440
30.01.2026 - Galatasaray - Match statistics.xlsx,Genel görüntü,61,173,146,"['Index', 'Gol', 'Pozisyonlar', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'Rakip sahaya girişler', 'Rakip ceza sahasına girişler']",10585
30.01.2026 - Galatasaray - Match statistics.xlsx,Lig,41,173,145,"['Index', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut', 'Shots on target, %']",10440
30.01.2026 - Galatasaray - Match statistics.xlsx,Mağlubiyet,13,173,135,"['Index', 'Pozisyonlar', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut', 'Shots on target, %', 'İsabetsiz Şutlar']",9045
30.01.2026 - Galatasaray - Match statistics.xlsx,Rakipler 3'lü savunma,21,173,143,"['Index', 'Gol', 'Pozisyonlar', 'Gol pozisyonları, başarılı', 'Chances successful, %', 'Faul', 'Sarı Kartlar', 'Kornerler', 'Şut', 'İsabetli Şut']",10153
